slug,name,state,fees,avgSalary,nirf,nirf_number,weight,,,,,,,,,,,,
iim-rohtak,IIM Rohtak,Haryana,2000000,2800000,19,19,90,,,,,,,,,,,,
iim-ranchi,IIM Ranchi,Jharkhand,2050000,2900000,18,18,91,,,,,,,,,,,,
iim-raipur,IIM Raipur,Chhattisgarh,2000000,2700000,15,15,90,,,,,,,,,,,,
iim-tiruchirappalli,IIM Tiruchirappalli,Tamil-Nadu,2100000,2950000,16,16,92,,,,,,,,,,,,
iim-udaipur,IIM Udaipur,Rajasthan,2250000,3000000,21,21,91,,,,,,,,,,,,
iim-kashipur,IIM Kashipur,Uttarakhand,1950000,2750000,23,23,89,,,,,,,,,,,,
iim-nagpur,IIM Nagpur,Maharashtra,2000000,2850000,25,25,89,,,,,,,,,,,,
iim-visakhapatnam,IIM Visakhapatnam,Andhra-Pradesh,2000000,2800000,29,29,88,,,,,,,,,,,,
iim-bodh-gaya,IIM Bodh Gaya,Bihar,1900000,2600000,31,31,87,,,,,,,,,,,,
iim-amritsar,IIM Amritsar,Punjab,1950000,2650000,64,64,82,,,,,,,,,,,,
iim-sirmaur,IIM Sirmaur,Himachal-Pradesh,1900000,2600000,51,51,84,,,,,,,,,,,,
iim-jammu,IIM Jammu,Jammu-and-Kashmir,1950000,2700000,35,35,87,,,,,,,,,,,,
iim-mumbai,IIM Mumbai,Maharashtra,2100000,3100000,6,6,94,,,,,,,,,,,,
iim-calcutta,IIM Calcutta,West-Bengal,2700000,3423000,7,7,97,,,,,,,,,,,,
xlri-jamshedpur,XLRI Jamshedpur,Jharkhand,2200000,2500000,6,6,89,,,,,,,,,,,,
aiims-raebareli,AIIMS Rae Bareli,Uttar-Pradesh,7640,900000,N/A,500,6,,,,,,,,,,,,
iiit-hyderabad,IIIT Hyderabad,Telangana,1800000,3396000,38,38,92,,,,,,,,,,,,
iiit-bangalore,IIIT Bangalore,Karnataka,2024000,3701000,69,69,90,,,,,,,,,,,,
aiims-jammu,AIIMS Vijaypur (Samba,Jammu-and-Kashmir,5573,800000,N/A,500,6,,,,,,,,,,,,
jkiapt-allahabad,J.K.I.A.P.T Allahabad,Uttar-Pradesh,260636,420000,101-150,125.5,55,,,,,,,,,,,,
iet-lucknow,IET Lucknow,Uttar-Pradesh,419100,820000,NULL,500,6,,,,,,,,,,,,
hbtu-kanpur,HBTU Kanpur,Uttar-Pradesh,540000,700000,201-300,250.5,40,,,,,,,,,,,,
rgipt-amethi,RJIPT Amethi,Uttar-Pradesh,979000,1050000,78,78,67,,,,,,,,,,,,
knit-sultanpur,KNIT Sultanpur,Uttar-Pradesh,315400,520000,NULL,500,3,,,,,,,,,,,,
biet-jhansi,BIET Jhansi,Uttar-Pradesh,307200,540000,NULL,500,3,,,,,,,,,,,,
mmmut-gorakhpur,MMMUT Gorakhpur,Uttar-Pradesh,540000,600000,60,60,66,,,,,,,,,,,,
upes-dehradun,UPES Dehradun,Uttarakhand,2184000,930000,43,43,71,,,,,,,,,,,,
hit-kolkata,HIT Kolkata,West-Bengal,622000,500000,NULL,500,3,,,,,,,,,,,,
ju-kolkata,Jadavpur University Kolkata,West-Bengal,30510,850000,18,18,74,,,,,,,,,,,,
nsut-east-delhi,NSUT (East Campus),Delhi,1129000,1400000,70,70,71,,,,,,,,,,,,
mait-delhi,MAIT Delhi,Delhi,744000,580000,201-300,250.5,39,,,,,,,,,,,,
bvcoe-delhi,BVCOE New Delhi,Delhi,736000,650000,N/A,500,4,,,,,,,,,,,,
gtbit-delhi,GTBIT Delhi,Delhi,632400,625000,Not Ranked,500,4,,,,,,,,,,,,
niec-delhi,ADGIPS Delhi,Delhi,598400,492000,Not Ranked,500,3,,,,,,,,,,,,
msit-delhi,MSIT Delhi,Delhi,686400,575000,201-300,250.5,39,,,,,,,,,,,,
bpit-delhi,BPIT Delhi,Delhi,720000,492000,Not Ranked,500,3,,,,,,,,,,,,
soe-jnu-delhi,SOE JNU Delhi,Delhi,546084,1100000,9,9,77,,,,,,,,,,,,
du-cic-delhi,DU CIC Delhi,Delhi,78084,750000,15,15,73,,,,,,,,,,,,
spa-delhi,SPA Delhi,Delhi,369084,750000,8,8,74,,,,,,,,,,,,
du-delhi-fot,FoT DU Delhi,Delhi,940800,850000,15,15,74,,,,,,,,,,,,
usct-gg-delhi,USCT GGSIPU Delhi,Delhi,1182500,450000,151-200,175.5,48,,,,,,,,,,,,
usar-delhi,USAR GGSIPU Delhi,Delhi,1182500,700000,151-200,175.5,50,,,,,,,,,,,,
usict-gg-delhi,USICT GGSIPU Delhi,Delhi,1182500,600000,151-200,175.5,49,,,,,,,,,,,,
jmi-delhi,JMI Delhi,Delhi,66150,700000,13,13,73,,,,,,,,,,,,
ctae-udaipur,CTAE Udaipur,Rajasthan,368000,525000,201-250,225.5,42,,,,,,,,,,,,
gec-ajmer,GEC Ajmer,Rajasthan,196000,766471,Not Ranked,500,5,,,,,,,,,,,,
gec-bikaner,GEC Bikaner,Rajasthan,200000,550000,Not Ranked,500,3,,,,,,,,,,,,
gec-jhalawar,GEC Jhalawar,Rajasthan,196000,392500,Not Ranked,500,2,,,,,,,,,,,,
gec-bharatpur,GEC Bharatpur,Rajasthan,196000,392500,Not Ranked,500,2,,,,,,,,,,,,
gec-banswara,GEC Banswara,Rajasthan,196000,380000,Not Ranked,500,2,,,,,,,,,,,,
gec-sikar,GEC Sikar,Rajasthan,200000,420000,Not Ranked,500,2,,,,,,,,,,,,
mbm-u-jodhpur,MBM University Jodhpur,Rajasthan,140000,650000,185,185,48,,,,,,,,,,,,
bits-pilani,BITS Pilani,Rajasthan,1251900,2200000,11,11,86,,,,,,,,,,,,
lnmiit-jaipur,LNMIIT Jaipur,Rajasthan,2096000,1387000,201-300,250.5,46,,,,,,,,,,,,
